code,name,released,api_url,icon_url
sds,Stardates,2026-11-13,https://api.scryfall.com/sets/6c6374a8-d70e-410f-a3c4-978a18fdbaa0,https://svgs.scryfall.io/sets/sds.svg?1787544000
ttrk,Star Trek Tokens,2026-11-13,https://api.scryfall.com/sets/4edafaae-5000-4dab-8d7a-54c5b7566bf4,https://svgs.scryfall.io/sets/trk.svg?1787544000
trk,Star Trek,2026-11-13,https://api.scryfall.com/sets/b47039dc-da5a-448c-8feb-e77d458108a6,https://svgs.scryfall.io/sets/trk.svg?1787544000
trc,Star Trek Commander,2026-11-13,https://api.scryfall.com/sets/a38c10be-90b1-4bb9-bd74-46784a751ac3,https://svgs.scryfall.io/sets/trc.svg?1787544000
mbc,Mystery Booster Commander Edition,2026-11-09,https://api.scryfall.com/sets/a4135564-9f37-4aaf-963a-90666f843e0d,https://svgs.scryfall.io/sets/mbc.svg?1787544000
frc,Reality Fracture Commander,2026-10-02,https://api.scryfall.com/sets/cfd10490-7397-4143-bda7-d388b877636f,https://svgs.scryfall.io/sets/frc.svg?1787544000
fra,Reality Fracture,2026-10-02,https://api.scryfall.com/sets/6595985e-39cf-4ca3-b43d-dd3e64749fdc,https://svgs.scryfall.io/sets/fra.svg?1787544000
slz,The Zeta Set,2026-09-02,https://api.scryfall.com/sets/fbbad14d-1d42-4204-ade6-911876dc7c06,https://svgs.scryfall.io/sets/blank.svg?1787544000
hoc,The Hobbit Eternal,2026-08-14,https://api.scryfall.com/sets/a185c905-5359-4f40-85c3-a3eae2ca4ff0,https://svgs.scryfall.io/sets/hoc.svg?1787544000
hob,The Hobbit,2026-08-14,https://api.scryfall.com/sets/59218c23-cb7a-4fde-9cff-3f2f71af1308,https://svgs.scryfall.io/sets/hob.svg?1787544000
thob,The Hobbit Tokens,2026-08-14,https://api.scryfall.com/sets/4be6c17a-b478-4a20-b1a7-4b7905323074,https://svgs.scryfall.io/sets/hob.svg?1787544000
tmsh,Marvel Super Heroes Tokens,2026-06-26,https://api.scryfall.com/sets/1226146b-024f-4456-be60-edf06fc054df,https://svgs.scryfall.io/sets/msh.svg?1787544000
amsh,Marvel Super Heroes Art Series,2026-06-26,https://api.scryfall.com/sets/7150d109-948b-4388-8847-5fff875d9893,https://svgs.scryfall.io/sets/msh.svg?1787544000
fmsc,Marvel Super Heroes Jumpstart Front Cards,2026-06-26,https://api.scryfall.com/sets/5af51a69-f5a9-4151-8bc7-69c159d010e0,https://svgs.scryfall.io/sets/msc.svg?1787544000
msh,Marvel Super Heroes,2026-06-26,https://api.scryfall.com/sets/ba9bf625-681c-4a4e-ab48-399b2fecac6b,https://svgs.scryfall.io/sets/msh.svg?1787544000
tmsc,Marvel Super Heroes Commander Tokens,2026-06-26,https://api.scryfall.com/sets/1a555c51-d5da-4f1d-ac1c-5cce81d5d8dc,https://svgs.scryfall.io/sets/msc.svg?1787544000
msc,Marvel Super Heroes Commander,2026-06-26,https://api.scryfall.com/sets/9d739461-c5ac-43a1-af41-3d5a585b5c8d,https://svgs.scryfall.io/sets/msc.svg?1787544000
ysos,Alchemy: Secrets of Strixhaven,2026-05-19,https://api.scryfall.com/sets/2fd19b90-7ba4-4f33-b876-3367d15ab426,https://svgs.scryfall.io/sets/y26.svg?1787544000
psos,Secrets of Strixhaven Promos,2026-04-24,https://api.scryfall.com/sets/ad780626-4b50-4b92-b5c1-49e060bd597d,https://svgs.scryfall.io/sets/sos.svg?1787544000
soc,Secrets of Strixhaven Commander,2026-04-24,https://api.scryfall.com/sets/97fab8d1-480a-419d-ab14-663968e29b9c,https://svgs.scryfall.io/sets/soc.svg?1787544000
asos,Secrets of Strixhaven Art Series,2026-04-24,https://api.scryfall.com/sets/16b35ba7-ab4d-4d0f-8d29-4de7d30d0e22,https://svgs.scryfall.io/sets/sos.svg?1787544000
tsoc,Secrets of Strixhaven Commander Tokens,2026-04-24,https://api.scryfall.com/sets/cb590d57-927c-437a-934c-7f774881d1c9,https://svgs.scryfall.io/sets/soc.svg?1787544000
sos,Secrets of Strixhaven,2026-04-24,https://api.scryfall.com/sets/e487c9ce-5e76-4756-bcd0-e4b7db5c38a3,https://svgs.scryfall.io/sets/sos.svg?1787544000
soa,Secrets of Strixhaven Mystical Archive,2026-04-24,https://api.scryfall.com/sets/f57497ce-4c8f-45e3-9cd9-395148357189,https://svgs.scryfall.io/sets/soa.svg?1787544000
tsos,Secrets of Strixhaven Tokens,2026-04-24,https://api.scryfall.com/sets/2c5a240e-9938-418e-a85d-8c4b098144bc,https://svgs.scryfall.io/sets/sos.svg?1787544000
tmc,Teenage Mutant Ninja Turtles Eternal,2026-03-06,https://api.scryfall.com/sets/178a07bb-cd54-4443-8b62-675e0c52cfe3,https://svgs.scryfall.io/sets/tmc.svg?1787544000
pza,Teenage Mutant Ninja Turtles Source Material,2026-03-06,https://api.scryfall.com/sets/59aecbd0-4c5b-4dd7-a0f2-ba16b4403c56,https://svgs.scryfall.io/sets/pza.svg?1787544000
tmt,Teenage Mutant Ninja Turtles,2026-03-06,https://api.scryfall.com/sets/03990f52-1d8a-4ce8-828a-c9bf633f0de6,https://svgs.scryfall.io/sets/tmt.svg?1787544000
ftmc,Teenage Mutant Ninja Turtles Eternal Front Cards,2026-03-06,https://api.scryfall.com/sets/02e8ceb3-e98d-443d-bc52-52e91ff0f2e9,https://svgs.scryfall.io/sets/tmc.svg?1787544000
ttmc,Teenage Mutant Ninja Turtles Eternal Tokens,2026-03-06,https://api.scryfall.com/sets/1b3d029e-609e-44de-a210-8c6a531dffc4,https://svgs.scryfall.io/sets/tmc.svg?1787544000
ttmt,Teenage Mutant Ninja Turtles Tokens,2026-03-06,https://api.scryfall.com/sets/914ad085-2264-40ad-84cb-b7e3d63bb5fe,https://svgs.scryfall.io/sets/tmt.svg?1787544000
atmt,Teenage Mutant Ninja Turtles Art Series,2026-03-06,https://api.scryfall.com/sets/27d8aebd-ed26-42a9-8f32-2d52d68b9305,https://svgs.scryfall.io/sets/tmt.svg?1787544000
pl26,Year of the Horse 2026,2026-02-17,https://api.scryfall.com/sets/20083173-c2da-4009-a6bd-5d56da78968d,https://svgs.scryfall.io/sets/star.svg?1787544000
yecl,Alchemy: Lorwyn Eclipsed,2026-02-03,https://api.scryfall.com/sets/1898a31a-88cb-48ef-9d6b-f91822e509b7,https://svgs.scryfall.io/sets/y26.svg?1787544000
pecl,Lorwyn Eclipsed Promos,2026-01-23,https://api.scryfall.com/sets/7b7b61ef-e1f4-4ac6-818e-c3489d954298,https://svgs.scryfall.io/sets/ecl.svg?1787544000
ecl,Lorwyn Eclipsed,2026-01-23,https://api.scryfall.com/sets/5d293ad8-a749-4725-bd5c-c4e1db828bd0,https://svgs.scryfall.io/sets/ecl.svg?1787544000
tecc,Lorwyn Eclipsed Commander Tokens,2026-01-23,https://api.scryfall.com/sets/8c48e6a3-51df-467b-b251-aaa17095787b,https://svgs.scryfall.io/sets/ecc.svg?1787544000
aecl,Lorwyn Eclipsed Art Series,2026-01-23,https://api.scryfall.com/sets/dc87145e-8510-47bf-989f-330b6156ea8c,https://svgs.scryfall.io/sets/ecl.svg?1787544000
ecc,Lorwyn Eclipsed Commander,2026-01-23,https://api.scryfall.com/sets/805b5a0c-f8bb-4555-86ea-eb9ec36a011a,https://svgs.scryfall.io/sets/ecc.svg?1787544000
tecl,Lorwyn Eclipsed Tokens,2026-01-23,https://api.scryfall.com/sets/f5380338-65e9-4885-8989-b23350cd27de,https://svgs.scryfall.io/sets/ecl.svg?1787544000
pw26,Wizards Play Network 2026,2026-01-01,https://api.scryfall.com/sets/6e547347-15c9-4756-b176-74ed3cd18fb2,https://svgs.scryfall.io/sets/star.svg?1787544000
pf26,MagicFest 2026,2026-01-01,https://api.scryfall.com/sets/a33565f7-90cd-43d7-83cf-84d50ee2add4,https://svgs.scryfall.io/sets/star.svg?1787544000
afic,Final Fantasy Scene Box,2025-12-05,https://api.scryfall.com/sets/ff17e3ce-4121-48bf-9463-fa6d3781bb38,https://svgs.scryfall.io/sets/fic.svg?1787544000
ptla,Avatar: The Last Airbender Promos,2025-11-21,https://api.scryfall.com/sets/60e818be-1263-4006-a196-7011fb9076c8,https://svgs.scryfall.io/sets/tla.svg?1787544000
atle,Avatar: the Last Airbender Eternal Art Series,2025-11-21,https://api.scryfall.com/sets/73e4a8a8-2b32-4832-bb09-9c94b47a2b2b,https://svgs.scryfall.io/sets/tle.svg?1787544000
atla,Avatar: the Last Airbender Art Series,2025-11-21,https://api.scryfall.com/sets/8b34342c-6a98-482f-82bf-358e500fd8ff,https://svgs.scryfall.io/sets/tla.svg?1787544000
jtla,Avatar: The Last Airbender Jumpstart Front Cards,2025-11-21,https://api.scryfall.com/sets/95083f2b-0a39-4878-8c18-baa51aa22677,https://svgs.scryfall.io/sets/tla.svg?1787544000
tla,Avatar: The Last Airbender,2025-11-21,https://api.scryfall.com/sets/118f7e64-5caa-4cb7-99a8-184f4d3a7422,https://svgs.scryfall.io/sets/tla.svg?1787544000
ftla,Avatar: The Last Airbender Beginner Box Front Cards,2025-11-21,https://api.scryfall.com/sets/e8aa0534-a9fc-4954-8f4e-d4b3710fc3cf,https://svgs.scryfall.io/sets/tla.svg?1787544000
tle,Avatar: The Last Airbender Eternal,2025-11-21,https://api.scryfall.com/sets/a75e6ceb-d62c-4063-8e96-f269e3a0b025,https://svgs.scryfall.io/sets/tle.svg?1787544000
ttla,Avatar: The Last Airbender Tokens,2025-11-21,https://api.scryfall.com/sets/89b3c0da-5cc2-4895-b592-36e754f856b8,https://svgs.scryfall.io/sets/tla.svg?1787544000
ttle,Avatar: The Last Airbender Eternal Tokens,2025-11-21,https://api.scryfall.com/sets/746b850e-380b-45a3-90c7-32a660789828,https://svgs.scryfall.io/sets/tle.svg?1787544000
lmar,Marvel Legends Series Inserts,2025-09-30,https://api.scryfall.com/sets/dd42508d-39e5-46f3-a5a9-eb7bd0002878,https://svgs.scryfall.io/sets/star.svg?1787544000
tspm,Marvel's Spider-Man Tokens,2025-09-26,https://api.scryfall.com/sets/6a930c14-c228-45d6-8580-05218153815a,https://svgs.scryfall.io/sets/spm.svg?1787544000
aspm,Marvel's Spider-Man Art Series,2025-09-26,https://api.scryfall.com/sets/017a97c4-45f6-4184-95ce-f6e545e9ee17,https://svgs.scryfall.io/sets/spm.svg?1787544000
pspm,Marvel's Spider-Man Promos,2025-09-26,https://api.scryfall.com/sets/bc339a49-60cb-4500-aede-0a887b693297,https://svgs.scryfall.io/sets/spm.svg?1787544000
spe,Marvel's Spider-Man Eternal,2025-09-26,https://api.scryfall.com/sets/57f25bcf-c541-418d-87c2-57361d57d35e,https://svgs.scryfall.io/sets/spe.svg?1787544000
spm,Marvel's Spider-Man,2025-09-26,https://api.scryfall.com/sets/a1c7b891-9e96-434c-9994-be58b62b27f1,https://svgs.scryfall.io/sets/spm.svg?1787544000
